"site_id","indicator","framework","scenario","raw_value","score"
"B10YVSIV","Pielou","ANDRA","revised_full_untrimmed",0.704979043549862,1
"B09BIO","ab","ANDRA","revised_full_untrimmed",1415,2
"B09DUB","ab","ANDRA","revised_full_untrimmed",3270,3
"B09FUM","ab","ANDRA","revised_full_untrimmed",971,1
"B09M103C","ab","ANDRA","revised_full_untrimmed",28650,5
"B09M117C","ab","ANDRA","revised_full_untrimmed",2386,2
"B09MTEC","ab","ANDRA","revised_full_untrimmed",883,1
"B09OMR","ab","ANDRA","revised_full_untrimmed",442,1
"B09TEM","ab","ANDRA","revised_full_untrimmed",2563,2
"B10AUPTé","ab","ANDRA","revised_full_untrimmed",4863,3
"B10G0ES","ab","ANDRA","revised_full_untrimmed",2476,2
"B10GOBA","ab","ANDRA","revised_full_untrimmed",27766,5
"B10GOBS","ab","ANDRA","revised_full_untrimmed",5836,4
"B10GOEA","ab","ANDRA","revised_full_untrimmed",10347,5
"B10GOES","ab","ANDRA","revised_full_untrimmed",40444,5
"B10GORA","ab","ANDRA","revised_full_untrimmed",35727,5
"B10GORS","ab","ANDRA","revised_full_untrimmed",4332,3
"B10THLA","ab","ANDRA","revised_full_untrimmed",8489,5
"B10THLT","ab","ANDRA","revised_full_untrimmed",12822,5
"B10THTR","ab","ANDRA","revised_full_untrimmed",5568,4
"B10THTS","ab","ANDRA","revised_full_untrimmed",7161,4
"B10YVGC","ab","ANDRA","revised_full_untrimmed",2828,2
"B10YVPP","ab","ANDRA","revised_full_untrimmed",441,1
"B10YVSI","ab","ANDRA","revised_full_untrimmed",4509,3
"B10YVSII","ab","ANDRA","revised_full_untrimmed",7782,4
"B10YVSIII","ab","ANDRA","revised_full_untrimmed",88,1
"B10YVSIV","ab","ANDRA","revised_full_untrimmed",13794,5
"B09BIO","RSr","TIGA_rural","revised_full_untrimmed",4,2
"B09DUB","RSr","TIGA_rural","revised_full_untrimmed",7.99999816602686,4
"B09FUM","RSr","TIGA_rural","revised_full_untrimmed",6,3
"B09M103C","RSr","TIGA_rural","revised_full_untrimmed",10.3112386898104,5
"B09M117C","RSr","TIGA_rural","revised_full_untrimmed",7.9999999980057,4
"B09MTEC","RSr","TIGA_rural","revised_full_untrimmed",3,1
"B09OMR","RSr","TIGA_rural","revised_full_untrimmed",2,1
"B09TEM","RSr","TIGA_rural","revised_full_untrimmed",5.99999999921906,2
"B10AUPTé","RSr","TIGA_rural","revised_full_untrimmed",4.99992812454887,2
"B10G0ES","RSr","TIGA_rural","revised_full_untrimmed",2,1
"B10GOBA","RSr","TIGA_rural","revised_full_untrimmed",7.35531579545355,4
"B10GOBS","RSr","TIGA_rural","revised_full_untrimmed",4.99964508954676,2
"B10GOEA","RSr","TIGA_rural","revised_full_untrimmed",6.99956731439765,3
"B10GOES","RSr","TIGA_rural","revised_full_untrimmed",8.24562066128995,4
